airline,name,shortName,callSign,country,airlineUrl,phone
TCA|Tropican Air Services|Tropican Air Services|Tropicana|||
TCB|Transporte Del Caribe|Transporte Del Caribe|Transcaribe|||
TCC|Trans Continental Airlines|Trans Continental Airlines|Transcal|||
TCE|Trans-Colorado Airlines, Inc.|Trans-Colorado|Trans-Colorado|||
TCH|Trans-Charter|Trans-Charter|Trans-Charter|||
TCL|Escape Aviation D/B/A Coastal Air Transport|Escape Aviation|Trans Coastal|||
TCM|Teledyne Continental Motors|Teledyne Continental Motors|Teledyn|||
TCN|Air Berlin Aviation|Air Berlin|NAUTILUS|Germany||
TCO|Aerotranscolombiana de Carga Ltda.|Aerotranscolombiana de Carga Ltda.|Transcolombia|||
TCP|Transcorp Airways|Transcorp|Transcorp|||
TCR|Laneas Aereas Trans Costa Rica S.A.|Laneas Aereas Trans Costa Rica S.A.|Ticos|||
TCS|Transportes de Carga Aerea Especializada Y Servicios Aeronauticos|Transportes de Carga Aerea Especializada Y Servicios Aeronauticos|Transcaesa|||
TCT|Transcontinental Sur S.r.l.|Transcontinental Sur S.r.l.|Trans-cont|||
TCU|Inter Tropical Aviation|Inter Tropical Aviation||||
TCV|Transportes Aereos de Cabo Verde - TACV|TACV|Caboverde|||
TCX|Thomas Cook Airlines|Thomas Cook|Thomas Cook|United Kingdom|https://www.thomascookairlines.com/|+44 (0) 1733 224 330
TCY|Twin Cities Air Service, Inc.|Twin Cities Air Service|Twin City|||
TDA|Trend Aviation|Trend Aviation|Trend Aviation|||
TDB|Welch Aviation, Inc.|Welch Aviation|Thunder Bay|||
TDC|Tadair, S.A.|Tadair|Tadair|||
TDE|Flight One|Flight One|Telluride|||
TDO|Transporte Aereo Dominicano|Transporte Aereo Dominicano|Trado|||
TDR|Trade Air|Trade Air|Tradeair|||
TDS|Tsaradia|Tsaradia|Tsaradia|Madagascar||
TDX|Wrangler Aviation, Inc. D/B/A Tradewinds International Airlines|Wrangler Aviation|Tradewinds Express|United States|http://www.tradewinds-airlines.com/|
TDY|Air Today, Inc.|Air Today|Air Today|||
TEA|T Doble A, Empresa de Transportes Aereos Andahuaylas|T Doble A, Empresa de Transportes Aereos Andahuaylas|Tee-Doble|||
TEAL|53rd Weather Reconnaissance Squadron|53rd Weather Reconnaissance Squadron|Teal|United States||
TEC|ADI Shuttle Group, LLC||Techjet|||
TED|Teddy Air A/s|Teddy Air|Teddys|||
TEE|West Freugh Dteo|West Freugh Dteo|Teebird|||
TEG|TEA - Trans European Airlines S.A.|TEA|Eurolines|||
TEH|Tempelhof Airways Usa, Inc.|Tempelhof Airways|Tempelhof|||
TEJ|Transportes Aeros Ejecutivos, S.A. de C.V.|Transportes Aeros Ejecutivos de C.V.|Transejecutivos|||
TEK|Air Technic Nigeria Ltd|Aero Tech|ATECH|United States|http://www.aerotechservices.com/|1-800-852-8693
TEL|Telford Aviation, Inc.|Telford Aviation|Telford|||
TEM|Tech-Mont Helicopter Company Ltd|Tech-Mont Helicopter Company Ltd|Techmont|||
TEN|Tennessee Airways|Tennessee Airways|Tennessee|||
TEP|Transeuropean Airlines|Transeuropean Airlines|Transeurline|||
TER|Territorial Airlines, Inc.|Territorial Airlines|Terri-Aire|||
TES|Transportes Aereos de El Salvador S.A. de C.V.|Transportes Aereos de El Salvador S.A. de C.V.|Taes|||
TEU|TAG Aviation (Malta) Ltd.|TAG Aviation|Tag Malta|||
TEXDOT|Texas Department of Transportation Flight Services|Texas Department of Transportation Flight Services||United States||
TEY|Antey, Joint-Stock Company|Antey, Joint-Stock Company|Antey|||
TEZ|Tez Jet Airlines|TezJet Airlines|TezJet|Kyrgyz Republic||
TFA|Trans-Florida Airlines|Trans-Florida|Trans Florida|||
TFF|Talon Air|Talon Air|Talon|||
TFH|Thai Flying Helicopter Service Co., Ltd.|Thai Flying Helicopter Service|Thai Helicopter|||
TFL|TUI Airlines Netherlands|TUI Airlines|Orange|Netherlands|http://www.tui.nl|+1-855-808-4015
TFN|Norwegian Aviation College A/s|Norwegian Aviation College A/s|Spirit|Norway||
TFR|Toll Priority||Toll Freight|||
TFS|Freight Air Service Transport|Freight Air Service Transport|Fast Transport|||
TFX|Toll Aviation||Toll Freight|Australia|http://www.tollaviation.com/index.htm|
TFY|Tayside Aviation Ltd|Tayside Aviation|Tayside|||
TGC|Tg Aviation Ltd|Tg|Thanet|||
TGE|Trabajos Aereos S.A.|Trabajos Aereos S.A.|Tasa|||
TGF|Aerotaxis Del Golfo, S.A. de C.V.|Aerotaxis Del Golfo de C.V.|Taxigolfo|||
TGG|Tigerair Australia|Tigerair Australia|TIGGOZ|Australia||
TGL|Trans-Atlantic Airlines Limited|Trans-Atlantic Airlines|Trans-Atlantic|||
TGN|Trigana Air Service|Trigana Air|Trigana|Indonesia|http://www.trigana-air.com/|
TGO|Canada - Transport Canada|Canada - Transport Canada|Transport|Canada||
TGT|Ab Nyge Aero|Ab Nyge Aero|Target|||
TGU|Transportes Aereos Guatemaltecos|TAG Airlines|Chapin|Guatemala||
TGV|SNCF|SNCF||France||
TGW|Scoot|Scoot|Scooter|Singapore||
TGY|Trans Guyana Airways|Trans Guyana Airways|Trans Guyana|Guyana||
TGZ|Georgian Airways|Georgian Airways|Tamazi||http://www.airzena.com/|+1-800-220-3106
THA|Thai Airways International Ltd.|Thai Airways|Thai|Thailand|http://www.thaiairways.com/|+1-800-426-5204
THC|Tar Heel Aviation, Inc.|Tar Heel Aviation|Tarheel|||
THD|Thai Smile||Thai Smile|Thailand||
THG|Thurston Aviation Ltd.|Thurston Aviation|Thurston|||
THK|Turk Hava Kurumu Hava Taksi Isletmesi|Turk Hava Kurumu Hava Taksi Isletmesi|Hur Kus|||
THN|International Security Assistance Force, Kabul, Afghanistan|International Security Assistance Force|Athena|||
THO|THRO Aviation, Inc.|Zenflight|Thro|United States||
THS|Transportes Aereos Hispanos, S.A.|Transportes Aereos Hispanos|Tahis|||
THT|Air Tahiti Nui||Tahiti Airlines||http://www.airtahitinui.com/|+1-877-824-4846
THU|Thunder Airlines Ltd|Thunder|Air Thunder|Canada||
THY|Turk Hava Yollari (Turkish Airlines Co.)|Turkish Airlines|Turkair|Turkey|http://www.thy.com/en-INT/|+1-800 874-8875
THZ|Trans Helicoptere Service|Trans Helicoptere Service|Lyon Helijet|||
TIA|Trans International Airlines|Trans International Airlines|Trans International|||
TIB|Trip Linhas Aereas||Trip|Brazil||
TIC|Transportes Aereos Costarricenses|TAC Airlines|TAC AIRLINES|Costa Rica|https://www.tac.cr|+506 40520616
TIE|Time Air|TimeAir|Time Air|Czech Republic||
TIF|Tiffany Air Transport|Tiffany Air Transport|Tiffany|||
TIH|S.c.ion Tiriac S.A.|S.c.ion Tiriac S.A.|Tiriac Air|||
TII|Aircompany Ati|Aircompany Ati|Airati|||
TIL|Tajikistan International Airlines|Tajikistan International Airlines|Til|||
TIM|Star Asia|Star Asia|Asia Star|||
TIN|Air Tindi Ltd.|Air Tindi|Tindi|Canada||
TIP|C And M Aviation|C And M Aviation|Transpac|||
TIR|Antair, S.A. de C.V.|Antair de C.V.|Antair|||
TIS|Tesis|Tesis|Tesis|||
TIT|Titan Aircompany|Titan Aircompany|Titavia|||
TIV|Corporate Flight International|Thrive Aviation|Thrive|United States||
TIW|TRANSCARGA INTL AIRWAYS, C.A. ||TIACA|||
TIX|FlexFlight ApS|FlexFlight|Matrix|Denmark|https://flexflight.dk/|+45 45 80 70 60
TJA|TAPJETS|TAPJETS|TAPJETS||http://www.tapjets.com|
TJB|Tayaran Jet |Tayaran Jet |Aladin|Bulgaria||
TJJ|Top Jets Ltd.|Top Jets|Thunderbolt|Bulgaria||
TJK|Tajikair|Tajikair|Tajikair|Tajikistan|http://www.tajikairlines.com/en/|
TJN|Tien-Shan|Tien-Shan|Neron|||
TJS|Tyrolean Jet Service Nfg. GmbH & Co. KG|Tyrolean Jet Services|Tyroljet|Austria||
TJT|Twin Jet|Twin Jet||France||
TKA|Air Troika|Air Troika|Troika|||
TKC|Tikal Jets|Tikal Jets||||
TKE|Trek Airways|Trek|Trekair|||
TKK|Aero Ways, Inc.||Tarka||http://www.aerowaysinc.com|
TKM|JM Family Aviation||Tacoma|||
TKO|Tretyakovo Air Transport Company|Tretyakovo Air Transport Company|Tretyakovo|||
TKR|Canadian Interagency Forest Fire Centre|Canadian Interagency Forest Fire Centre|Tanker|Canada||
TLA|Translift Airways Ltd|Translift Airways|Translift|Ireland||
TLB|Atlantique Air Assistance|Atlantique Air Assistance|Triple-A|||
TLC|Caribbean Express, Inc.|Caribbean Express|Carib-X|||
TLE|Air Toulouse|Air Toulouse|Air Toulouse|||
TLF|Transport Africa Limited|Transport Africa Limited|Trans-Leone|||
TLK|Starlink Aviation|Starlink Aviation|Starlink|Canada||
TLM|Thai Lion Airlines|Thai Lion|Mentari|||
TLN|Atlantico Linhas Aereas S/a|Atlantico Linhas Aereas S/a|Atlantlas|||
TLO|Eagle Canyon Airlines, Inc.|Eagle Canyon|Talon Air|||
TLP|Tulip Air|Tulip Air|Tulipair|||
TLR|Tibesti Air Libya|||||
TLS|Tlc Air, Inc.|Tlc Air|Tealsy|||
TLT|Turtle Airways Ltd.|Turtle|Turtle|||
TLU|Aero Toluca Internacional, S.A. de C.V.|Aero Toluca Internacional de C.V.|Aerotoluca|||
TLX|Telesis Transair, Inc.|Telesis Transair|Telesis|||
TLY|Top-Fly|Top-Fly|Topfly|||
TMA|Trans Mediterranean Airlines|Trans Mediterranean Airlines|Tango Lima|||
TMC|Travel Management Company. LTD|Travel Management Company. LTD|Trailblazer||http://www.tmcjets.com/|
TME|Aero Taxi Del Centro de Mexico, S.A. de C.V.|Aero Taxi Del Centro de Mexico de C.V.|Taxicentro|||
TMG|Tri-MG Intra Asia Airlines|Tri-MG Intra Asia Airlines||Indonesia||
TMK|Tomahawk Airways, Inc.|Tomahawk|Tomahawk|||
TML|Societe Anonyme de Transport Et Travaux Aeriens de Madagascar|Societe Anonyme de Transport Et Travaux Aeriens de Madagascar|Tam Airline|Madagascar||
TMM|Traffic Management Corporation|Traffic Management Corporation|Willow Run|||
TMN|Tasman Cargo Airlines|Tasman Cargo Airlines|Tasman|Australia|http://www.tasmancargo.com/default.asp|
TMO|Tomskneft-VNC, Joint-Stock Company|Tomskneft-VNC|Tomsk-Oil|||
TMP|Arizona Express Airlines|Arizona Express|Tempe|||
TMQ|Thames Air Services & Charter Ltd.|Thames Air Services & Charter Ltd.|Thames Air|||
TMR|Timberline Air|Timberline Air|Timber|Canada||
TMS|Temsco Helicopters, Inc.|Temsco Helicopters|Temsco|||
TMT|Trans Midwest Airlines, Inc.|Trans Midwest Airlines|Trans Midwest|||
TMX|Transportacion Aerea Mexicana|Transportacion Aerea Mexicana|Tramex|||
TMY|Transportes Aereos Del Mundo Maya, S.A. de C.V.|Transportes Aereos Del Mundo Maya de C.V.|Mundo Maya|||
TNB|Trans Air-Benin|Trans Air-Benin|Trans-Benin|||
TNC|National Aviation Consultants Ltd.|National Aviation Consultants Ltd.|Natcom|Canada||
TNE|Taxis Aereos Del Noroeste,s.a. de C.V.|Taxis Aereos Del Noroeste,s.a. de C.V.|Taxinoroeste|||
TNF|Tatneftaero|Tatneftaero|Tatneft|||
TNH|Turnhouse Flying Club|Turnhouse Flying Club|Turnhouse|||
TNI|Transair International Linhas Aereas Ltda.|Transair International Linhas Aereas Ltda.|Transinter|||
TNK|Airmax Airlines|Airmax|Tonka Air|United States||
TNO|Aerotransporte de Carga Union|AeroUnion|AeroUnion|Mexico||
TNP|Transalp|Transalp|Transalp|||
TNR|Tanana Air Services|Tanana Air Service|Tan Air|United States|http://www.tananaair.com/|+1-907-524-3330
TNS|Servicos Aereos Do Vale Amazonico S/A|Servicos Aereos Do Vale Amazonico|Sava Servicos|||
TNT|Trans North Turbo Air Ltd.|Trans North Turbo Air|Trans North|Canada||
TNU|PT TransNusa Aviation Mandiri|TransNusa|TRANSNUSA|Indonesia||
TNV|TransNorthern Aviation|TransNorthern||United States|http://www.transnorthern.com|+1-(907) 245-1879
TNX|Trener Ltd|Trener Ltd|Trainer|||
TNY|Twin Air Calypso|Twin Air Calypso|TwinCal|United States|http://www.flytwinair.com/|+1-954-359-8266
TNZ|Rex Aviation|Rex Aviation|Tranzair|||
TOA|Tropical Airlines Ltd|Tropical Airlines|Tropical Airlines|||
TOF|Topcliffe Ftu|Topcliffe Ftu|Topcliffe|||
TOK|PNG Air||BALUS|||
TOM|Tui Airways Limited|TUI Airways|Tomjet|United Kingdom||
TON|Aero Tonala|Aero Tonala|Aerotonala|||
TOO|Alieurope|Alieurope|Alieurope|||
TOP|Top Air Havacilik Sanayi Ve Ticaret A.S.|Top Air Havacilik Sanayi Ve Ticaret A.S.|Air Top|||
TOR|FlyGTA Airlines|FlyGTA|Homerun|Canada||
TORA|Tora Tora Tora Commemorative Air Force|Tora Tora Tora Commemorative Air Force|Tora|United States||
TOS|Tropic Air Ltd|Tropic Air|Tropiser|Belize|http://www.tropicair.com/|+1-800-422-3435
TOT|Totavia - Aviation Information Services|Totavia - Aviation Information Services||Canada||
TOW|AirTanker||TOWLINE|United Kingdom||
TOY|Toyo Aviation|Toyo||||
TPA|Transportes Aereos Mercantiles Panamericanos S.A.,|Transportes Aereos Mercantiles Panamericanos|Tampa|||
TPB|Aero Tropical, Lda|Aero Tropical|Aero Tropical|||
TPC|Air Caledonie|Air Caledonie|Aircal|France||
TPE|TAP - Transportes Aereos Presidente S/A|TAP|Presidente|||
TPF|Taxis Aereos Del Pacifico, S.A. de C.V.|Taxis Aereos Del Pacifico de C.V.|Taxipacifico|||
TPG|Transportes Aereos Pegaso, S.A. de C.V.|Transportes Aereos Pegaso de C.V.|Transpegaso|||
TPI|Topair|Topair|Topair|||
TPJ|Tempus Jets|||United States||
TPL|Tar Interpilot|Tar Interpilot|Interpilot|||
TPN|Transportacion Aerea Del Norte, S.A. de C.V.|Transportacion Aerea Del Norte de C.V.|Aerea Delnorte|||
TPO|Aero Taxi Del Potosi, S.A.|Aero Taxi Del Potosi|Taxi-Potosi|||
TPR|Tapoavia|Tapoavia|Tapoavia|||
TPS|Tapsa Aviacion|Tapsa Aviacion|Tapsa|||
TPT|Transportes Transpenta Ltda.|Transportes Transpenta Ltda.|Transpenta|||
TPU|Taca Peru|||||
TPV|Thai Pacific Airlines Business Company|||||
TPX|Transportes Aereos de Xalapa, S.A. de C.V.|Transportes Aereos de Xalapa de C.V.|Transxalapa|||
TPY|Trans-provincial Airlines Ltd.|Trans-provincial Airlines|Trans Provincial|Canada||
TPZ|Transportes La Paz, S.A. de C.V.|Transportes La Paz de C.V.|Transpaz|||
TQF|Uk Royal/vip Helicopter Flights|Uk Royal/vip Helicopter Flights|Rainbow|||
TQN|Taquan Air Services, Inc.|Taquan Air Services|Taquan|United States|http://www.taquanair.com/|
TQQ|Tarco Aviation Company Ltd.|Tarco Airlines|Aviation Tarco|Sudan||
TRA|Transavia Holland B.v.|Transavia Holland B.v.|Transavia|Netherlands|http://transavia.com/|
TRB|Ukraine Transavia|Ukraine Transavia|Kirovtrans|||
TRC|Trans Air Charter, Inc.|Trans Air Charter|Tracker|||
TRD|Trans Island Air|Trans Island Air|Trans Island|||
TRE|Trans-Eastern Airlines Ltd.|Trans-Eastern Airlines|Trans-East|||
TRF|Air Transafrik Limited|Air Transafrik|Transafrik|||
TRG|Atlantic Island Air|Atlantic Island Air|Triangle|||
TRH|Airmark Aviation, Inc.|Airmark Aviation|Transtar|||
TRI|Executive Flight Operations, Ontario Government|Executive Flight Operations, Ontario Government|Trillium|Canada||
TRJ|Turbo Megha Airways Pvt. Ltd.|TruJet|Trujet|India|trujet.com|
TRK|Turkish Airlines General Aviation|Turkish Airlines General Aviation|Turkish Republic|||
TRL|Transeast Airlines|Transeast|Lattrans|||
TRM|Transport Aerien de Mauritanie|Transport Aerien de Mauritanie|Sotrans|||
TRO|Tropic Airlines-Air Molokai|Tropic Airlines-Air Molokai|Molokai|||
TRP|Maryland State Police|Maryland State Police|Trooper|||
TRR|Tramson Limited|Tramson Limited|Tramson|||
TRS|AirTran Airways||Citrus|United States|http://www.airtran.com/|+1-800-247-8726
TRT|Trans Arabian Air Transport|Trans Arabian Air Transport|Trans Arabian|||
TRU|Triangle Airline|Triangle Airline|Tri Air|||
TRV|Taron Avia LLC|Taron Avia|Taronavia|Armenia||
TRW|Transwestern Airlines Of Utah|Transwestern Airlines Of Utah|Trans-West|||
TRX|Air Terrex|Air Terrex|Terrex|||
TRY|Tristar Airlines, Inc.|Tristar|Tristar Air|||
TSA|Transair France|Transair France|Airtraf|||
TSB|Transports Aeriens Du Benin|Transports Aeriens Du Benin|Air Benin|||
TSC|Air Transat|Air Transat|Transat|Canada|http://www.airtransat.com/|+1-877-872-6728
TSF|Trans-African Airways Inc.|Trans-African Airways|Africanway|||
TSG|Trans Air Congo|Trans Air Congo|Trans-Air-Congo|Congo||
TSH|Regional 1 Airlines Ltd.|Regional 1 Airlines|Transcanada|Canada||
TSI|Transport'air|Transport'air|Transportair|||
TSK|Tomsk State Aviation Enterprise|Tomsk State Aviation Enterprise|Tomsk-Avia|||
TSL|Transaero-Samara Airlines Ltd.|Transaero-Samara Airlines|Avialuch|||
TSM|Skylounge Services S.A.L.|Sky Lounge|Skylounge|Lebanon||
TSN|Trans-Air Services Limited|Trans-Air Services|Air Trans|||
TSP|Transportes Aereos Inter S.A.|Transportes Aereos Inter S.A.|Transpo-Inter|||
TSR|Trans Service Airlift|Trans Service Airlift|Trans Service|||
TSS|Tri-State Aero, Inc.|Tri-State Aero|Tri-State|||
TSU|Contract Air Cargo, Inc.|Contract Air Cargo|Trans-Auto|United States||
TSV|Tropair Airservices|Tropair Airservices|Tropic|||
TSX|Trans-Asia|Trans-Asia|Trans-Asia|||
TSY|Tristar Air|Tristar Air|Triple Star|Egypt||
TTA|Transporte E Trabalho Aero|Transporte E Trabalho Aero|Transaero|||
TTB|Aerolineas Turisticas Del Caribe, S.A. de C.V.|Aerolineas Turisticas Del Caribe de C.V.|Aero Turisticas|||
TTC|Transteco|Transteco|Transteco|||
TTE|Avcenter, Inc.|Avcenter|Teton|||
TTF|224th Flight Unit|224th Flight Unit|Cargo Unit|||
TTG|Transtel SA|Transtel SA|Transtel|||
TTI|Aero Attie, S.A. de C.V.|Aero Attie de C.V.|Aero Attie|||
TTJ|Tatra Jet, S.R.O.|Tatra JET|Tatra|Slovakia||
TTL|Total Linhas Aereas S/a|Total Linhas Aereas S/a|Total|||
TTM|Societe Tout Transport Mauritanien|Societe Tout Transport Mauritanien|Tout-Air|||
TTN|Lip-Avia|Lip-Avia|Zavod|||
TTR|Tatra Air|Tatra Air|Tatra|||
TTU|Ttt Air|Ttt Air|Valda|||
TTW|Tigerair Taiwan|Tigerair|Smart Cat|||
TTX|Alliance Air Charter|Alliance Air Charter|Twister|United States|http://allianceaircharter.com/|+1-940-239-3100
TUA|Turkmenhovayollary|Turkmenhovayollary|Turkmenistan|||
TUB|True Aviation Limited|True Aviation|True Aviation|Bangladesh||
TUD|Flight Alaska, Inc.|Flight Alaska|Tundra|United States||
TUF|American Aviation Services Ltd|American Aviation Services Ltd|Tuftyclub|||
TUI|TuiFly|TuiFly|TUIJET|Germany|http://www.tuifly.nl|
TUK|New Island Connections, Inc. D/B/A Ocean Wings Commuter Service|New Island Connections D/B/A Ocean Wings Commuter Service|Tuckernuck|||
TUL|Tulpar Air||URSAL|||
TUM|Aeriantur-M Airlines|Aeriantur-M|Air-Em|||
TUN|Air Tungaru|Air Tungaru|Tungaru|||
TUO|Taxi Aereo Turistico, S.A. de C.V.|Taxi Aereo Turistico de C.V.|Turistico|||
TUP|Tupolev Aerotrans|Tupolev Aerotrans|Tupolev Air|||
TUQ|Air Turquoise|Air Turquoise|Air Turquoise|||
TUR|Aerotur, S.A.|Aerotur|Aerotur|||
TUU|Compania Aerea de Servicios Tur Air|Compania Aerea de Servicios Tur Air|Tur Service|||
TUV|Turavia|Turavia|Turavia|||
TUX|TunisAir Express||TUNEXPRESS|Tunisia||
TUY|Linea Turistica Aereotuy Lta, C.a.|Linea Turistica Aereotuy Lta, C.a.|Aereotuy|||
TVA|Trans America Airlines Inc.|Trans America Airlines|Trans-america|||
TVD|Aeroflight Executive Services, Inc.|Aeroflight|Aeroflight|United States|http://www.aeroflight.com/cargo/|+1-(206) 762-6376
TVF|Transavia France||FRANCE SOLEIL|France||
TVI|Tiramavia Ltd|Tiramavia Ltd|Tiramavia|||
TVJ|Thai Vietjet Air|Thai Vietjet Air|THAIVIET JET|||
TVL|Smartwings Hungary|Smartwings Hungary|Travel Service|Hungary||
TVM|Tavria-Mak|Tavria-Mak|Tavria-Mak|||
TVN|Transcolombiana de Aviacion S.A.|Transcolombiana de Aviacion|Tavina|||
TVO|Transavio|Transavio|Trans-Ballerio|||
TVP|Smartwings Poland|Smartwings Poland|Jet Travel|Poland||
TVQ|Travel Service Slovakia|Travel Service|Slovak Travel|||
TVR|Terra Avia|TerraAvia|Terraavia|Moldova||
TVS|Smart Wings|Smart Wings|Skytravel|Czech Republic||
TVT|Transaviati0n, S.A.|Transaviati0n|Transaviation|||
TWB|Tway Air||TEEWAY||http://www.twayair.com|
TWC|Taraz Wings|Taraz Wings|Taraz|||
TWE|Transwede Airways AB|Transwede Airways|Transwede|||
TWF|247jet|||United Kingdom||
TWG|Air Taxi Europe GmbH|Air-Taxi Europe|Twin-Goose|Germany||
TWI|Tailwind Airlines|Tailwind Airlines|Tailwind|||
TWJ|Twinjet Aircraft Sales|||United Kingdom||
TWL|Trade Winds Aviation Ltd.|Trade Winds|Tradewinds Canada|Canada||
TWN|Avialeasing Aviation Company|Avialeasing Aviation Company|Twinarrow|||
TWO|Twente Airlines|Twente|Colibri|||
TWT|Transwest Airlines|Transwest Airlines|Superior|||
TWW|Trans Air Welwitchia|Trans Air Welwitchia|Welwitchia|||
TWY|Sunset Aviation, LLC||Twilight|||
TXA|Texair Charter, Inc.|Texair Charter|Okay Air|||
TXB|Bell Helicopter, Textron Canada|Bell Helicopter, Textron Canada|Textron|Canada||
TXC|Transaviaexport|Transaviaexport|Transexport|||
TXD|Aerotaxis Del Noroeste, S.A. de C.V.|Aerotaxis Del Noroeste de C.V.|Taxi Oeste|||
TXE|Transaero Express|Transaero Express|Taxi|||
TXH|Bell Helicopter|Bell Helicopter|Textron|Canada||
TXI|Aereotaxis, S.A. de C.V.|Aereotaxis de C.V.|Aereotaxis|||
TXJ|Brilliant Jet Co., Ltd.|Brilliant Jet|Taixiang|China||
TXL|Aereo Taxi de Leon, S.A. de C.V.|Aereo Taxi de Leon de C.V.|Taxileo|||
TXM|Taxi Aereo de Mexico|Taxi Aereo de Mexico|Taximex|||
TXN|Texas National Airlines|Texas National Airlines|Texas National|||
TXO|Aerotax Monse, S.A. de C.V.|Aerotax Monse de C.V.|Monse|||
TXP|Linea Aerea Taxpa Ltda.|Linea Aerea Taxpa Ltda.|Taxpa|||
TXR|Taxirey, S.A. de C.V.|Taxirey de C.V.|Taxirey|||
TXS|Texas Airlines, Inc.|Texas Airlines|Texair|||
TXV|Puerto Vallarta Taxi Aereo, S.A. de C.V.|Puerto Vallarta Taxi Aereo de C.V.|Taxivallarta|||
TXX|Austin Express, Inc.|Austin Express|Cowboy|||
TXZ|Thai Express Air Co. Ltd.|Thai Express Air|Express Air|Thailand||
TYA|Nordstar Airlines|Nordstar|Taimyr|||
TYF|Tayflite Limited|Tayflite Limited|Tayflite|||
TYG|Trygg-Flyg AB|Trygg-Flyg AB|Trygg|||
TYJ|Tyrolean Jet Services Malta Ltd.|TJS Malta|Tyrol Malta|Malta||
TYM|Tyumen Airlines|Tyumen|Air Tyumen|||
TYW|TYROL AIR AMBULANCE GMBH|TYROL AMBULANCE||||
TZA|Aeronaves Azteca, S.A. de C.V.|Aeronaves Azteca de C.V.|Aeronaves Azteca|||
TZK|Tajikistan|Tajikistan|Tajikistan|||
TZP|ZIPAIR Tokyo Inc.|ZIPAIR|Zippy|Japan||
TZT|Air Zambezi|Air Zambezi||||
UAB|United Arabian Airlines|United Arabian|United Arabian|||
UAC|United Air Charters|United Air Charters|Unitair|||
UAE|Emirates|Emirates|Emirates|United Arab Emirates|http://www.emirates.com|1-800-777-3999
UAF|United Arab Emirates Air Force|United Arab Emirates Air Force|Uniforce|||
UAI|Union Africaine Des Transports|Union Africaine Des Transports|Unair|||
UAK|Kiev Aviation Plant|Kiev Aviation Plant|Aviation Plant|Ukraine||
UAL|United Air Lines Inc.|United|United|United States|http://www.united.com/|1-800-864-8331
UAN|Aviaton|Aviaton|Aviaton|||
UAO|UAS/AEF Benson|Oxford University Air Squadron||United Kingdom||
UAP|Antonov Airtrack|Antonov Airtrack|Airtracker|||
UAR|Aerostar|Aerostar|Aerostar|||
UAT|Universal Air Transport|Universal Air Transport|Riverside|||
